"GPOName";"Link";"Enabled";"GPOStatus"
"HAD-Bitlocker-TpmPin-Win10-11";"oswald.com/OZ_T12/Users";"true";"Computer Misconfiguration"
"HAD-Bitlocker-TpmPin-Win10-11";"oswald.com/OZ_T12/Workstations";"true";"User Misconfiguration"
