"GPOName";"Link";"Enabled";"GPOStatus"
"HAD-LoginRestrictions-T2";"oswald.com/OZ_T12";"true";"OK"
"HAD-LoginRestrictions-T2";"oswald.com/Provisioning/Computers";"true";"Computer Misconfiguration"
