"GPOName";"Type";"Trustee";"TrusteeSID";"Inherited"
"HAD-LocalAdmins-T1";"GpoCustom";"G-S-T0-GPO_HAD-LocAdmins-T1_DENY";"S-1-5-21-1502320860-189160106-1795443177-1227";"False"
"HAD-LocalAdmins-T1";"GpoApply";"G-S-T0-GPO_HAD-LocAdmins-T1_APPLY";"S-1-5-21-1502320860-189160106-1795443177-1228";"False"
"HAD-LocalAdmins-T1";"GpoApply";"Authenticated Users";"S-1-5-11";"False"
"HAD-LocalAdmins-T1";"GpoEditDeleteModifySecurity";"Domain Admins";"S-1-5-21-1502320860-189160106-1795443177-512";"False"
"HAD-LocalAdmins-T1";"GpoEditDeleteModifySecurity";"Enterprise Admins";"S-1-5-21-1502320860-189160106-1795443177-519";"False"
"HAD-LocalAdmins-T1";"GpoRead";"ENTERPRISE DOMAIN CONTROLLERS";"S-1-5-9";"False"
"HAD-LocalAdmins-T1";"GpoEditDeleteModifySecurity";"SYSTEM";"S-1-5-18";"False"
