"GPOName";"Type";"Trustee";"TrusteeSID";"Inherited"
"HAD-NTLM1-LMx-Disabled";"GpoCustom";"G-S-T0-GPO_HAD-NTLM1-LMx-Disabled_DENY";"S-1-5-21-1502320860-189160106-1795443177-1263";"False"
"HAD-NTLM1-LMx-Disabled";"GpoApply";"G-S-T0-GPO_HAD-NTLM1-LMx-Disabled_APPLY";"S-1-5-21-1502320860-189160106-1795443177-1264";"False"
"HAD-NTLM1-LMx-Disabled";"GpoEditDeleteModifySecurity";"Domain Admins";"S-1-5-21-1502320860-189160106-1795443177-512";"False"
"HAD-NTLM1-LMx-Disabled";"GpoEditDeleteModifySecurity";"Enterprise Admins";"S-1-5-21-1502320860-189160106-1795443177-519";"False"
"HAD-NTLM1-LMx-Disabled";"GpoRead";"Authenticated Users";"S-1-5-11";"False"
"HAD-NTLM1-LMx-Disabled";"GpoRead";"ENTERPRISE DOMAIN CONTROLLERS";"S-1-5-9";"False"
"HAD-NTLM1-LMx-Disabled";"GpoEditDeleteModifySecurity";"SYSTEM";"S-1-5-18";"False"
