"GPOName";"Type";"Trustee";"TrusteeSID";"Inherited"
"HAD-Auto-Update-Win7-8";"GpoCustom";"G-S-T0-GPO_HAD-Auto-Update-Win7-8_DENY";"S-1-5-21-1502320860-189160106-1795443177-1171";"False"
"HAD-Auto-Update-Win7-8";"GpoApply";"G-S-T0-GPO_HAD-Auto-Update-Win7-8_APPLY";"S-1-5-21-1502320860-189160106-1795443177-1172";"False"
"HAD-Auto-Update-Win7-8";"GpoEditDeleteModifySecurity";"Domain Admins";"S-1-5-21-1502320860-189160106-1795443177-512";"False"
"HAD-Auto-Update-Win7-8";"GpoEditDeleteModifySecurity";"Enterprise Admins";"S-1-5-21-1502320860-189160106-1795443177-519";"False"
"HAD-Auto-Update-Win7-8";"GpoRead";"Authenticated Users";"S-1-5-11";"False"
"HAD-Auto-Update-Win7-8";"GpoRead";"ENTERPRISE DOMAIN CONTROLLERS";"S-1-5-9";"False"
"HAD-Auto-Update-Win7-8";"GpoEditDeleteModifySecurity";"SYSTEM";"S-1-5-18";"False"
