"GPOName";"Type";"Trustee";"TrusteeSID";"Inherited"
"HAD-PowerShell-Logs";"GpoCustom";"G-S-T0-GPO_HAD-PowerShell-Logs_DENY";"S-1-5-21-1502320860-189160106-1795443177-1269";"False"
"HAD-PowerShell-Logs";"GpoApply";"G-S-T0-GPO_HAD-PowerShell-Logs_APPLY";"S-1-5-21-1502320860-189160106-1795443177-1270";"False"
"HAD-PowerShell-Logs";"GpoEditDeleteModifySecurity";"Domain Admins";"S-1-5-21-1502320860-189160106-1795443177-512";"False"
"HAD-PowerShell-Logs";"GpoEditDeleteModifySecurity";"Enterprise Admins";"S-1-5-21-1502320860-189160106-1795443177-519";"False"
"HAD-PowerShell-Logs";"GpoRead";"Authenticated Users";"S-1-5-11";"False"
"HAD-PowerShell-Logs";"GpoRead";"ENTERPRISE DOMAIN CONTROLLERS";"S-1-5-9";"False"
"HAD-PowerShell-Logs";"GpoEditDeleteModifySecurity";"SYSTEM";"S-1-5-18";"False"
