"GPOName";"Type";"Trustee";"TrusteeSID";"Inherited"
"HAD-LDAP-Audit-Enabled";"GpoCustom";"G-S-T0-GPO_HAD-LDAP-Audit-Enabled_DENY";"S-1-5-21-1502320860-189160106-1795443177-1203";"False"
"HAD-LDAP-Audit-Enabled";"GpoApply";"G-S-T0-GPO_HAD-LDAP-Audit-Enabled_APPLY";"S-1-5-21-1502320860-189160106-1795443177-1204";"False"
"HAD-LDAP-Audit-Enabled";"GpoEditDeleteModifySecurity";"Domain Admins";"S-1-5-21-1502320860-189160106-1795443177-512";"False"
"HAD-LDAP-Audit-Enabled";"GpoEditDeleteModifySecurity";"Enterprise Admins";"S-1-5-21-1502320860-189160106-1795443177-519";"False"
"HAD-LDAP-Audit-Enabled";"GpoRead";"Authenticated Users";"S-1-5-11";"False"
"HAD-LDAP-Audit-Enabled";"GpoRead";"ENTERPRISE DOMAIN CONTROLLERS";"S-1-5-9";"False"
"HAD-LDAP-Audit-Enabled";"GpoEditDeleteModifySecurity";"SYSTEM";"S-1-5-18";"False"
