"GPOName";"Type";"Trustee";"TrusteeSID";"Inherited"
"HAD-GPO-Refresh-Cycle";"GpoCustom";"G-S-T0-GPO_HAD-GPO-Refresh-Cycle_DENY";"S-1-5-21-1502320860-189160106-1795443177-1191";"False"
"HAD-GPO-Refresh-Cycle";"GpoApply";"G-S-T0-GPO_HAD-GPO-Refresh-Cycle_APPLY";"S-1-5-21-1502320860-189160106-1795443177-1192";"False"
"HAD-GPO-Refresh-Cycle";"GpoEditDeleteModifySecurity";"Domain Admins";"S-1-5-21-1502320860-189160106-1795443177-512";"False"
"HAD-GPO-Refresh-Cycle";"GpoEditDeleteModifySecurity";"Enterprise Admins";"S-1-5-21-1502320860-189160106-1795443177-519";"False"
"HAD-GPO-Refresh-Cycle";"GpoRead";"Authenticated Users";"S-1-5-11";"False"
"HAD-GPO-Refresh-Cycle";"GpoRead";"ENTERPRISE DOMAIN CONTROLLERS";"S-1-5-9";"False"
"HAD-GPO-Refresh-Cycle";"GpoEditDeleteModifySecurity";"SYSTEM";"S-1-5-18";"False"
