"GPOName";"Type";"Trustee";"TrusteeSID";"Inherited"
"HAD-LoginRestrictions-PawT0";"GpoCustom";"G-S-T0-GPO_HAD-LoginRestrictions-PawT0_DENY";"S-1-5-21-1502320860-189160106-1795443177-1239";"False"
"HAD-LoginRestrictions-PawT0";"GpoApply";"G-S-T0-GPO_HAD-LoginRestrictions-PawT0_APPLY";"S-1-5-21-1502320860-189160106-1795443177-1240";"False"
"HAD-LoginRestrictions-PawT0";"GpoApply";"Authenticated Users";"S-1-5-11";"False"
"HAD-LoginRestrictions-PawT0";"GpoEditDeleteModifySecurity";"Domain Admins";"S-1-5-21-1502320860-189160106-1795443177-512";"False"
"HAD-LoginRestrictions-PawT0";"GpoEditDeleteModifySecurity";"Enterprise Admins";"S-1-5-21-1502320860-189160106-1795443177-519";"False"
"HAD-LoginRestrictions-PawT0";"GpoRead";"ENTERPRISE DOMAIN CONTROLLERS";"S-1-5-9";"False"
"HAD-LoginRestrictions-PawT0";"GpoEditDeleteModifySecurity";"SYSTEM";"S-1-5-18";"False"
