"GPOName";"Type";"Trustee";"TrusteeSID";"Inherited"
"HAD-UAC-Enabled";"GpoCustom";"G-S-T0-GPO_HAD-UAC-Enabled_DENY";"S-1-5-21-1502320860-189160106-1795443177-1311";"False"
"HAD-UAC-Enabled";"GpoApply";"G-S-T0-GPO_HAD-UAC-Enabled_APPLY";"S-1-5-21-1502320860-189160106-1795443177-1312";"False"
"HAD-UAC-Enabled";"GpoEditDeleteModifySecurity";"Domain Admins";"S-1-5-21-1502320860-189160106-1795443177-512";"False"
"HAD-UAC-Enabled";"GpoEditDeleteModifySecurity";"Enterprise Admins";"S-1-5-21-1502320860-189160106-1795443177-519";"False"
"HAD-UAC-Enabled";"GpoRead";"Authenticated Users";"S-1-5-11";"False"
"HAD-UAC-Enabled";"GpoRead";"ENTERPRISE DOMAIN CONTROLLERS";"S-1-5-9";"False"
"HAD-UAC-Enabled";"GpoEditDeleteModifySecurity";"SYSTEM";"S-1-5-18";"False"
