"GPOName";"Type";"Trustee";"TrusteeSID";"Inherited"
"HAD-Firewall-Block-Inbound";"GpoCustom";"G-S-T0-GPO_HAD-Fwl-Block-Inbound_DENY";"S-1-5-21-1502320860-189160106-1795443177-1189";"False"
"HAD-Firewall-Block-Inbound";"GpoApply";"G-S-T0-GPO_HAD-Fwl-Block-Inbound_APPLY";"S-1-5-21-1502320860-189160106-1795443177-1190";"False"
"HAD-Firewall-Block-Inbound";"GpoEditDeleteModifySecurity";"Domain Admins";"S-1-5-21-1502320860-189160106-1795443177-512";"False"
"HAD-Firewall-Block-Inbound";"GpoEditDeleteModifySecurity";"Enterprise Admins";"S-1-5-21-1502320860-189160106-1795443177-519";"False"
"HAD-Firewall-Block-Inbound";"GpoRead";"Authenticated Users";"S-1-5-11";"False"
"HAD-Firewall-Block-Inbound";"GpoRead";"ENTERPRISE DOMAIN CONTROLLERS";"S-1-5-9";"False"
"HAD-Firewall-Block-Inbound";"GpoEditDeleteModifySecurity";"SYSTEM";"S-1-5-18";"False"
