"GPOName";"Type";"Trustee";"TrusteeSID";"Inherited"
"HAD-Windows11-Update-Blocked";"GpoCustom";"G-S-T0-GPO_HAD-Windows11-Update-Blocked_DENY";"S-1-5-21-1502320860-189160106-1795443177-1317";"False"
"HAD-Windows11-Update-Blocked";"GpoApply";"G-S-T0-GPO_HAD-Windows11-Update-Blocked_APPLY";"S-1-5-21-1502320860-189160106-1795443177-1318";"False"
"HAD-Windows11-Update-Blocked";"GpoEditDeleteModifySecurity";"Domain Admins";"S-1-5-21-1502320860-189160106-1795443177-512";"False"
"HAD-Windows11-Update-Blocked";"GpoEditDeleteModifySecurity";"Enterprise Admins";"S-1-5-21-1502320860-189160106-1795443177-519";"False"
"HAD-Windows11-Update-Blocked";"GpoRead";"Authenticated Users";"S-1-5-11";"False"
"HAD-Windows11-Update-Blocked";"GpoRead";"ENTERPRISE DOMAIN CONTROLLERS";"S-1-5-9";"False"
"HAD-Windows11-Update-Blocked";"GpoEditDeleteModifySecurity";"SYSTEM";"S-1-5-18";"False"
