"GPOName";"Type";"Trustee";"TrusteeSID";"Inherited"
"HAD-LoginRestrictions-T2L";"GpoCustom";"G-S-T0-GPO_HAD-LoginRestrictions-T2L_DENY";"S-1-5-21-1502320860-189160106-1795443177-1251";"False"
"HAD-LoginRestrictions-T2L";"GpoApply";"G-S-T0-GPO_HAD-LoginRestrictions-T2L_APPLY";"S-1-5-21-1502320860-189160106-1795443177-1252";"False"
"HAD-LoginRestrictions-T2L";"GpoApply";"Authenticated Users";"S-1-5-11";"False"
"HAD-LoginRestrictions-T2L";"GpoEditDeleteModifySecurity";"Domain Admins";"S-1-5-21-1502320860-189160106-1795443177-512";"False"
"HAD-LoginRestrictions-T2L";"GpoEditDeleteModifySecurity";"Enterprise Admins";"S-1-5-21-1502320860-189160106-1795443177-519";"False"
"HAD-LoginRestrictions-T2L";"GpoRead";"ENTERPRISE DOMAIN CONTROLLERS";"S-1-5-9";"False"
"HAD-LoginRestrictions-T2L";"GpoEditDeleteModifySecurity";"SYSTEM";"S-1-5-18";"False"
