"GPOName";"Type";"Trustee";"TrusteeSID";"Inherited"
"HAD-LoginRestrictions-T2";"GpoCustom";"G-S-T0-GPO_HAD-LoginRestrictions-T2_DENY";"S-1-5-21-1502320860-189160106-1795443177-1249";"False"
"HAD-LoginRestrictions-T2";"GpoApply";"G-S-T0-GPO_HAD-LoginRestrictions-T2_APPLY";"S-1-5-21-1502320860-189160106-1795443177-1250";"False"
"HAD-LoginRestrictions-T2";"GpoApply";"Authenticated Users";"S-1-5-11";"False"
"HAD-LoginRestrictions-T2";"GpoEditDeleteModifySecurity";"Domain Admins";"S-1-5-21-1502320860-189160106-1795443177-512";"False"
"HAD-LoginRestrictions-T2";"GpoEditDeleteModifySecurity";"Enterprise Admins";"S-1-5-21-1502320860-189160106-1795443177-519";"False"
"HAD-LoginRestrictions-T2";"GpoRead";"ENTERPRISE DOMAIN CONTROLLERS";"S-1-5-9";"False"
"HAD-LoginRestrictions-T2";"GpoEditDeleteModifySecurity";"SYSTEM";"S-1-5-18";"False"
