"GPOName";"Type";"Trustee";"TrusteeSID";"Inherited"
"HAD-FIPS-Enabled";"GpoCustom";"G-S-T0-GPO_HAD-FIPS-Enabled_DENY";"S-1-5-21-1502320860-189160106-1795443177-1185";"False"
"HAD-FIPS-Enabled";"GpoApply";"G-S-T0-GPO_HAD-FIPS-Enabled_APPLY";"S-1-5-21-1502320860-189160106-1795443177-1186";"False"
"HAD-FIPS-Enabled";"GpoEditDeleteModifySecurity";"Domain Admins";"S-1-5-21-1502320860-189160106-1795443177-512";"False"
"HAD-FIPS-Enabled";"GpoEditDeleteModifySecurity";"Enterprise Admins";"S-1-5-21-1502320860-189160106-1795443177-519";"False"
"HAD-FIPS-Enabled";"GpoRead";"Authenticated Users";"S-1-5-11";"False"
"HAD-FIPS-Enabled";"GpoRead";"ENTERPRISE DOMAIN CONTROLLERS";"S-1-5-9";"False"
"HAD-FIPS-Enabled";"GpoEditDeleteModifySecurity";"SYSTEM";"S-1-5-18";"False"
