"GPOName";"Type";"Trustee";"TrusteeSID";"Inherited"
"HAD-LDAP-Server-Signing-Required";"GpoCustom";"G-S-T0-GPO_HAD-LDAP-Srv-Signing-Required_DENY";"S-1-5-21-1502320860-189160106-1795443177-1211";"False"
"HAD-LDAP-Server-Signing-Required";"GpoApply";"G-S-T0-GPO_HAD-LDAP-Srv-Signing-Required_APPLY";"S-1-5-21-1502320860-189160106-1795443177-1212";"False"
"HAD-LDAP-Server-Signing-Required";"GpoEditDeleteModifySecurity";"Domain Admins";"S-1-5-21-1502320860-189160106-1795443177-512";"False"
"HAD-LDAP-Server-Signing-Required";"GpoEditDeleteModifySecurity";"Enterprise Admins";"S-1-5-21-1502320860-189160106-1795443177-519";"False"
"HAD-LDAP-Server-Signing-Required";"GpoRead";"Authenticated Users";"S-1-5-11";"False"
"HAD-LDAP-Server-Signing-Required";"GpoRead";"ENTERPRISE DOMAIN CONTROLLERS";"S-1-5-9";"False"
"HAD-LDAP-Server-Signing-Required";"GpoEditDeleteModifySecurity";"SYSTEM";"S-1-5-18";"False"
