"GPOName";"Type";"Trustee";"TrusteeSID";"Inherited"
"HAD-NTP-PDC-Configuration";"GpoApply";"Authenticated Users";"S-1-5-11";"False"
"HAD-NTP-PDC-Configuration";"GpoEditDeleteModifySecurity";"Enterprise Admins";"S-1-5-21-1502320860-189160106-1795443177-519";"False"
"HAD-NTP-PDC-Configuration";"GpoEditDeleteModifySecurity";"Domain Admins";"S-1-5-21-1502320860-189160106-1795443177-512";"False"
"HAD-NTP-PDC-Configuration";"GpoRead";"ENTERPRISE DOMAIN CONTROLLERS";"S-1-5-9";"False"
"HAD-NTP-PDC-Configuration";"GpoEditDeleteModifySecurity";"SYSTEM";"S-1-5-18";"False"
