"GPOName";"Type";"Trustee";"TrusteeSID";"Inherited"
"HAD-SMB1-Audit-Enabled";"GpoCustom";"G-S-T0-GPO_HAD-SMB1-Audit-Enabled_DENY";"S-1-5-21-1502320860-189160106-1795443177-1291";"False"
"HAD-SMB1-Audit-Enabled";"GpoApply";"G-S-T0-GPO_HAD-SMB1-Audit-Enabled_APPLY";"S-1-5-21-1502320860-189160106-1795443177-1292";"False"
"HAD-SMB1-Audit-Enabled";"GpoEditDeleteModifySecurity";"Domain Admins";"S-1-5-21-1502320860-189160106-1795443177-512";"False"
"HAD-SMB1-Audit-Enabled";"GpoEditDeleteModifySecurity";"Enterprise Admins";"S-1-5-21-1502320860-189160106-1795443177-519";"False"
"HAD-SMB1-Audit-Enabled";"GpoRead";"Authenticated Users";"S-1-5-11";"False"
"HAD-SMB1-Audit-Enabled";"GpoRead";"ENTERPRISE DOMAIN CONTROLLERS";"S-1-5-9";"False"
"HAD-SMB1-Audit-Enabled";"GpoEditDeleteModifySecurity";"SYSTEM";"S-1-5-18";"False"
