"GPOName";"Type";"Trustee";"TrusteeSID";"Inherited"
"HAD-LoginRestrictions-T0";"GpoCustom";"G-S-T0-GPO_HAD-LoginRestrictions-T0_DENY";"S-1-5-21-1502320860-189160106-1795443177-1243";"False"
"HAD-LoginRestrictions-T0";"GpoApply";"G-S-T0-GPO_HAD-LoginRestrictions-T0_APPLY";"S-1-5-21-1502320860-189160106-1795443177-1244";"False"
"HAD-LoginRestrictions-T0";"GpoApply";"Authenticated Users";"S-1-5-11";"False"
"HAD-LoginRestrictions-T0";"GpoEditDeleteModifySecurity";"Domain Admins";"S-1-5-21-1502320860-189160106-1795443177-512";"False"
"HAD-LoginRestrictions-T0";"GpoEditDeleteModifySecurity";"Enterprise Admins";"S-1-5-21-1502320860-189160106-1795443177-519";"False"
"HAD-LoginRestrictions-T0";"GpoRead";"ENTERPRISE DOMAIN CONTROLLERS";"S-1-5-9";"False"
"HAD-LoginRestrictions-T0";"GpoEditDeleteModifySecurity";"SYSTEM";"S-1-5-18";"False"
