"GPOName";"Type";"Trustee";"TrusteeSID";"Inherited"
"HAD-Logon-Cache-0";"GpoCustom";"G-S-T0-GPO_HAD-Logon-Cache-0_DENY";"S-1-5-21-1502320860-189160106-1795443177-1253";"False"
"HAD-Logon-Cache-0";"GpoApply";"G-S-T0-GPO_HAD-Logon-Cache-0_APPLY";"S-1-5-21-1502320860-189160106-1795443177-1254";"False"
"HAD-Logon-Cache-0";"GpoEditDeleteModifySecurity";"Domain Admins";"S-1-5-21-1502320860-189160106-1795443177-512";"False"
"HAD-Logon-Cache-0";"GpoEditDeleteModifySecurity";"Enterprise Admins";"S-1-5-21-1502320860-189160106-1795443177-519";"False"
"HAD-Logon-Cache-0";"GpoRead";"Authenticated Users";"S-1-5-11";"False"
"HAD-Logon-Cache-0";"GpoRead";"ENTERPRISE DOMAIN CONTROLLERS";"S-1-5-9";"False"
"HAD-Logon-Cache-0";"GpoEditDeleteModifySecurity";"SYSTEM";"S-1-5-18";"False"
