"GPOName";"Type";"Trustee";"TrusteeSID";"Inherited"
"HAD-WinRM-Basic-Digest-Auth-Disabled";"GpoCustom";"G-S-T0-GPO_HAD-WinRM-Basic-Digest-Auth-Disabled_DENY";"S-1-5-21-1502320860-189160106-1795443177-1319";"False"
"HAD-WinRM-Basic-Digest-Auth-Disabled";"GpoApply";"G-S-T0-GPO_HAD-WinRM-Basic-Digest-Auth-Disabled_APPLY";"S-1-5-21-1502320860-189160106-1795443177-1320";"False"
"HAD-WinRM-Basic-Digest-Auth-Disabled";"GpoEditDeleteModifySecurity";"Domain Admins";"S-1-5-21-1502320860-189160106-1795443177-512";"False"
"HAD-WinRM-Basic-Digest-Auth-Disabled";"GpoEditDeleteModifySecurity";"Enterprise Admins";"S-1-5-21-1502320860-189160106-1795443177-519";"False"
"HAD-WinRM-Basic-Digest-Auth-Disabled";"GpoRead";"Authenticated Users";"S-1-5-11";"False"
"HAD-WinRM-Basic-Digest-Auth-Disabled";"GpoRead";"ENTERPRISE DOMAIN CONTROLLERS";"S-1-5-9";"False"
"HAD-WinRM-Basic-Digest-Auth-Disabled";"GpoEditDeleteModifySecurity";"SYSTEM";"S-1-5-18";"False"
