"GPOName";"Type";"Trustee";"TrusteeSID";"Inherited"
"HAD-QwantSearch";"GpoCustom";"G-S-T0-GPO_HAD-QwantSearch_DENY";"S-1-5-21-1502320860-189160106-1795443177-1323";"False"
"HAD-QwantSearch";"GpoApply";"G-S-T0-GPO_HAD-QwantSearch_APPLY";"S-1-5-21-1502320860-189160106-1795443177-1324";"False"
"HAD-QwantSearch";"GpoEditDeleteModifySecurity";"Domain Admins";"S-1-5-21-1502320860-189160106-1795443177-512";"False"
"HAD-QwantSearch";"GpoEditDeleteModifySecurity";"Enterprise Admins";"S-1-5-21-1502320860-189160106-1795443177-519";"False"
"HAD-QwantSearch";"GpoRead";"Authenticated Users";"S-1-5-11";"False"
"HAD-QwantSearch";"GpoRead";"ENTERPRISE DOMAIN CONTROLLERS";"S-1-5-9";"False"
"HAD-QwantSearch";"GpoEditDeleteModifySecurity";"SYSTEM";"S-1-5-18";"False"
