"GPOName";"SettingCategory";"SettingPath";"SettingName";"SettingStatus";"Type";"Statement";"Value"
"HAD-LocalAdmins-T1";"Local Users And Groups";;"Local Group : Administrators (built-in)";"Member: OZ\L-S-T1_LocalAdmins_Servers";;;"SID : S-1-5-21-1502320860-189160106-1795443177-1134"
"HAD-LocalAdmins-T1";"Local Users And Groups";;"Local Group : Administrators (built-in)";"Member: OZ\L-S_LocalAdmins_%ComputerName%";;;"SID : "
