"GPOName";"SettingCategory";"SettingPath";"SettingName";"SettingStatus";"Type";"Statement";"Value"
"HAD-NTP-PDC-Configuration";"Administrative Templates";"System/Windows Time Service/Time Providers";"Configure Windows NTP Client";"Enabled";"Numeric";;
"HAD-NTP-PDC-Configuration";"Administrative Templates";"System/Windows Time Service/Time Providers";"Configure Windows NTP Client";"Enabled";"Numeric";;
"HAD-NTP-PDC-Configuration";"Administrative Templates";"System/Windows Time Service/Time Providers";"Configure Windows NTP Client";"Enabled";"Numeric";;
"HAD-NTP-PDC-Configuration";"Administrative Templates";"System/Windows Time Service/Time Providers";"Configure Windows NTP Client";"Enabled";"Numeric";;
"HAD-NTP-PDC-Configuration";"Administrative Templates";"System/Windows Time Service/Time Providers";"Configure Windows NTP Client";"Enabled";"Numeric";;
"HAD-NTP-PDC-Configuration";"Administrative Templates";"System/Windows Time Service/Time Providers";"Configure Windows NTP Client";"Enabled";"DropDownList";"Type";"NTP"
"HAD-NTP-PDC-Configuration";"Administrative Templates";"System/Windows Time Service/Time Providers";"Enable Windows NTP Client";"Enabled";;;
"HAD-NTP-PDC-Configuration";"Administrative Templates";"System/Windows Time Service/Time Providers";"Enable Windows NTP Server";"Enabled";;;
