"GPOName";"SettingCategory";"SettingPath";"SettingName";"SettingStatus";"Type";"Statement";"Value"
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Windows Update";"Specify deadlines for automatic updates and restarts";"Enabled";"DropDownList";"Deadline (days):";"7"
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Windows Update";"Specify deadlines for automatic updates and restarts";"Enabled";"DropDownList";"Grace Period (days):";
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Windows Update";"Turn off auto-restart for updates during active hours";"Enabled";"DropDownList";"Start: ";"8 AM"
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Windows Update";"Turn off auto-restart for updates during active hours";"Enabled";"DropDownList";"End:";"7 PM"
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Windows Update";"Turn off auto-restart notifications for update installations";"Disabled";;;
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Windows Update";"Turn on recommended updates via Automatic Updates";"Enabled";;;
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Windows Update";"Turn on Software Notifications";"Disabled";;;
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Windows Update/Windows Update for Business";"Select when Preview Builds and Feature Updates are received";"Enabled";"Numeric";"(format yyyy-mm-dd example: 2016-10-30)";
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Windows Update/Windows Update for Business";"Select when Quality Updates are received";"Enabled";"Numeric";"(format yyyy-mm-dd example: 2016-10-30)";
"HAD-Auto-Update-Win10-11";"Registry Settings";"Software\Policies\Microsoft\Windows\WindowsUpdate";"ManagePreviewBuilds";;;;"1"
"HAD-Auto-Update-Win10-11";"Registry Settings";"Software\Policies\Microsoft\Windows\WindowsUpdate";"ManagePreviewBuildsPolicyValue";;;;"0"
"HAD-Auto-Update-Win10-11";"Registry Settings";"Software\Policies\Microsoft\Windows\WindowsUpdate";"BranchReadinessLevel";;;;"16"
